topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
6N8L,MER,   0.400, 10000.000,   40.000,    8.000,   24.630,    0.000,    0.000,   24.630,    1.687,    9.985,    0.000,    0.197,    0.000,    0.500,    0.000,   66.660,  100.000,   35.916,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,    9.000,   25.940,    0.000,    0.000,   25.940,    1.916,   11.051,    0.000,    0.200,    0.000,    0.500,    0.000,   72.487,  100.000,   44.074,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   10.000,    9.580,    0.000,    0.000,    9.580,    2.148,   10.869, 37690.000,    0.363,    0.449,    0.500,    0.000,   37.581,   79.513,    7.065,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   11.000,   21.480,    0.000,    0.000,   21.480,    1.864,   10.231, 12870.000,    0.278,    0.161,    0.500,    0.000,   53.432,   91.240,   18.570,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   12.000,   10.680,    0.000,    0.000,   10.680,    1.982,   10.785, 13470.000,    0.258,    0.204,    0.500,    0.000,   42.439,   90.258,    7.618,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   13.000,   16.210,    0.000,    0.000,   16.210,    1.887,   10.586, 21390.000,    0.323,    0.291,    0.500,    0.000,   46.510,   87.791,   12.406,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   14.000,   21.990,    0.000,    0.000,   21.990,    1.602,    9.814,    0.000,    0.187,    0.000,    0.500,    0.000,   60.598,  100.000,   20.955,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   15.000,   21.000,    0.000,    0.000,   21.000,    1.638,    9.569,    0.000,    0.196,    0.000,    0.500,    0.000,   58.426,  100.000,   19.719,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   16.000,   10.010,    0.000,    0.000,   10.010,    2.012,   10.451, 31820.000,    0.342,    0.387,    0.500,    0.000,   37.486,   79.200,    6.842,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   17.000,   17.890,    0.000,    0.000,   17.890,    1.718,    9.728, 13260.000,    0.283,    0.202,    0.500,    0.000,   48.440,   89.952,   11.893,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   18.000,   16.780,    0.000,    0.000,   16.780,    1.740,    9.702, 12800.000,    0.259,    0.176,    0.500,    0.000,   48.666,   92.834,   12.115,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   19.000,   10.550,    0.000,    0.000,   10.550,    1.981,   10.760, 31020.000,    0.337,    0.390,    0.500,    0.000,   36.419,   79.086,    6.990,    0.000
6N8L,MER,   0.400, 10000.000,   40.000,   20.000,   15.560,    0.000,    0.000,   15.560,    1.911,   10.304, 21520.000,    0.320,    0.293,    0.500,    0.000,   46.315,   87.739,   12.360,    0.000

6N8L,MER,   0.400, 10000.000,   60.000,    1.000,   30.540,    0.000,    0.000,   30.540,    1.990,   16.957,    0.000,    0.213,    0.000,    0.500,      nan,  100.000,  100.000,  100.000,      nan
6N8L,MER,   0.400, 10000.000,   60.000,    2.000,   21.730,    0.000,    0.000,   21.730,    2.025,   16.722, 23650.000,    0.348,    0.304,    0.500,    0.000,   57.662,   89.198,   32.617,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,    3.000,   27.870,    0.000,    0.000,   27.870,    1.812,   16.113,    0.000,    0.209,    0.000,    0.500,    0.000,   84.931,  100.000,   70.092,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,    4.000,   26.450,    0.000,    0.000,   26.450,    2.083,   17.931,    0.000,    0.201,    0.000,    0.500,    0.000,   67.924,  100.000,   32.842,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,    5.000,   17.970,    0.000,    0.000,   17.970,    2.194,   17.114, 32310.000,    0.353,    0.346,    0.500,    0.000,   46.742,   81.062,   19.301,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,    6.000,    0.000,    0.000,    0.000,    0.000,    2.411,   18.125, 37510.000,    0.293,    0.361,    0.500,    0.000,   31.159,   77.108,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,    7.000,   24.200,    0.000,    0.000,   24.200,    2.023,   17.299, 13510.000,    0.284,    0.163,    0.500,    0.000,   60.991,   91.777,   32.983,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,    8.000,   23.950,    0.000,    0.000,   23.950,    1.702,   14.664,    0.000,    0.198,    0.000,    0.500,    0.000,   64.155,  100.000,   30.163,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,    9.000,   21.050,    0.000,    0.000,   21.050,    1.755,   14.389, 13550.000,    0.280,    0.177,    0.500,    0.000,   55.172,   91.524,   21.977,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   10.000,    0.000,    0.000,    0.000,    0.000,    2.478,   19.237, 34190.000,    0.331,    0.452,    0.500,    0.000,   31.099,   78.731,    0.000,    0.000
6N8L,MER,   0.400, 10000.000,   60.000,   11.000,    0.000,    0.000,    0.000,    0.000,    2.395,   18.707, 26290.000,    0.299,    0.372,    0.500,    0.000,   32.618,   81.894,    0.000,    0.000
