topology,num of calls,secure link rate,blocking rate,blocking rate 0,br 0 stack,blocking rate 1,br 1 stack,blocking rate 2,br 2 stack,security deviations,security deviations 0,security deviations 1,security deviations 2,exposure rate,exposure rate 0,exposure rate 1,exposure rate 2
6N8E,100,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881857918609058,0.5086102482727184,0.0,0.0,22.745164443670546,61.4734174153258,0.0,0.0
6N8E,150,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24315826396960347,0.5979301573023035,0.0,0.0,21.656846518252614,53.25454061865397,0.0,0.0
6N8E,200,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092063348538673,0.5230158371346681,0.0,0.0,20.327313425235392,50.81828356308847,0.0,0.0
6N8E,250,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26282064447329057,0.6198600105502137,0.0,0.0,20.405527886737037,48.126245015889225,0.0,0.0
6N8E,300,0.6,1.0,0.0,0.0,1.2195121951219512,0.33333333333333337,2.197802197802198,0.6666666666666667,0.17069655772210893,0.3991880129406799,0.0,0.0,32.57582579863261,76.18126190703848,0.0,0.0
6N8E,350,0.6,12.285714285714286,0.0,0.0,19.387755102040817,5.428571428571429,20.33898305084746,6.857142857142858,0.2077476262779637,0.47595911393533474,0.0,0.0,28.57174878408947,65.45915579638408,0.0,0.0
6N8E,400,0.6,12.75,0.0,0.0,24.615384615384617,8.0,17.117117117117118,4.75,0.22450437838980666,0.4927800506795128,0.0,0.0,27.70853411044004,60.81936103486524,0.0,0.0
6N8E,450,0.6,13.777777777777779,1.0471204188481675,0.4444444444444444,22.900763358778626,6.666666666666667,23.4375,6.666666666666667,0.2812832990322293,0.5774493122989681,0.0,0.0,24.367079595027292,50.023422660690954,0.0,0.0
6N8E,500,0.6,18.0,0.5376344086021506,0.2,31.372549019607842,9.6,25.465838509316768,8.200000000000001,0.19536853082245625,0.4329789061470652,0.0,0.0,29.542528973626084,65.47263177938754,0.0,0.0
6N8E,550,0.6,23.09090909090909,2.564102564102564,1.090909090909091,39.61038961038961,11.090909090909092,37.03703703703704,10.909090909090908,0.27718254984845925,0.5142465727451678,0.0,0.0,32.413395891564356,60.135379219875965,0.0,0.0
6N8E,600,0.6,27.666666666666668,7.468879668049793,3.0,40.123456790123456,10.833333333333334,42.13197969543147,13.833333333333334,0.2615743514551156,0.5090729530561442,0.0,0.0,29.15504144845872,56.74120174274029,0.0,0.0
6N8E,650,0.6,29.076923076923077,14.396887159533073,5.6923076923076925,36.36363636363637,11.076923076923077,41.02564102564102,12.307692307692308,0.2602081136183936,0.5452542744458156,0.0,0.0,22.67095251392264,47.50595049508334,0.0,0.0
6N8E,700,0.6,30.571428571428573,13.732394366197184,5.571428571428571,46.666666666666664,14.000000000000002,37.37864077669903,11.0,0.2437845391248376,0.4835889225088615,0.0,0.0,28.095335303741034,55.731971255584256,0.0,0.0
6N8E,750,0.6,33.86666666666667,13.945578231292515,5.466666666666667,45.37444933920705,13.733333333333334,48.03493449781659,14.666666666666666,0.24535442133720925,0.4810110394595089,0.0,0.0,29.534570370759358,57.90176641856379,0.0,0.0
6N8E,800,0.6,35.0,15.29051987767584,6.25,47.71784232365145,14.374999999999998,49.56896551724138,14.374999999999998,0.27082872080143405,0.508414927136266,0.0,0.0,26.618546468556346,49.969834525809745,0.0,0.0
