topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,average_security_exposure,average_num_recip_channels,average_security_cost
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,54,0.0,2.9047619047619047,0.8546099290780141,13.507692307692308
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,54,0.11,0.6666666666666666,1.1045197740112995,16.833333333333332
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,54,0.0,2.9047619047619047,0.8546099290780141,13.507692307692308
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,12,0.0,3.0952380952380953,0.8287671232876712,13.636363636363637
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,12,0.11,0.35714285714285715,1.394736842105263,18.4
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,12,0.0,3.0952380952380953,0.8287671232876712,13.636363636363637
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,5,0.0,2.9285714285714284,0.9140625,13.193548387096774
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,5,0.1,0.7857142857142857,0.9210526315789473,16.865384615384617
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,5,0.0,2.9285714285714284,0.9140625,13.193548387096774
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,95,0.0,2.5238095238095237,0.9477611940298507,13.7
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,95,0.14,0.5952380952380952,1.0192307692307692,17.17391304347826
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,95,0.0,2.5238095238095237,0.9701492537313433,13.7
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,51,0.0,3.3095238095238093,1.0460526315789473,13.08
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,51,0.17,0.5714285714285714,1.3478260869565217,18.896551724137932
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,51,0.0,3.3095238095238093,1.0460526315789473,13.08
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,21,0.0,2.4285714285714284,0.8178294573643411,12.776119402985074
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,21,0.15,0.4523809523809524,1.1235955056179776,17.26923076923077
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,21,0.0,2.5238095238095237,0.810077519379845,12.776119402985074
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,76,0.0,3.5,1.170391061452514,13.974025974025974
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,76,0.21,0.8571428571428571,1.3269230769230769,18.142857142857142
