topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,average_security_exposure,average_num_recip_channels,average_security_cost
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,14,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,14,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,14,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,60,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,60,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,60,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,17,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,17,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,17,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,35,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,35,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,35,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,94,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,94,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,94,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,2.0,47,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,2.0,47,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,2.0,47,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,14,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,14,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,14,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,60,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,60,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,60,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,17,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,17,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,17,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,35,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,35,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,35,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,94,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,94,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,94,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,4.0,47,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,4.0,47,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,4.0,47,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,6.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,6.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,6.0,64,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,6.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,6.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,6.0,27,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,6.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,6.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,6.0,45,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,6.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_sf_grooming,SFG,100,6.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_jdr_grooming,JDRG,100,6.0,38,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
graphml/Nsfnet.graphml,ag_cf_grooming,CFG,100,6.0,14,0.0,2.8095238095238093,1.6492537313432836,13.380952380952381
