load,algorithm,repeat,blocking_rate_mean,blocking_rate_std,blocking_rate_sem,average_security_exposure_mean,average_security_exposure_std,average_security_exposure_sem,average_security_cost_mean,average_security_cost_std,average_security_cost_sem
2.0,ag_cf_grooming,10,0.0,0.0,0.0,29.697619047619046,0.9558831110788891,0.30227678078970205,13.442618368430718,0.07382001641717698,0.023343938878930173
2.0,ag_sf_grooming,10,0.17049999999999998,0.008771798244627173,0.0027738861628488713,6.661904761904762,0.7261622858610213,0.2296326774235112,17.624242949981802,0.27303962766516965,0.0863427114906258
2.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.766666666666666,0.8579361408454055,0.2713032292046498,13.442618368430718,0.07382001641717698,0.023343938878930173
4.0,ag_cf_grooming,10,0.0,0.0,0.0,29.757142857142856,0.9047479809566301,0.2861064328261598,13.442618368430718,0.07382001641717698,0.023343938878930173
4.0,ag_sf_grooming,10,0.2784,0.017462340431148776,0.005522076903967684,10.92142857142857,0.7522578762103348,0.23788482766256516,15.232057573268952,0.3489669499361924,0.11035303899203185
4.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.68095238095238,0.7352479644045244,0.23250582125207034,13.442618368430718,0.07382001641717698,0.023343938878930173
6.0,ag_cf_grooming,10,0.0,0.0,0.0,29.816666666666666,0.7166671061187986,0.22663003794569977,13.442618368430718,0.07382001641717698,0.023343938878930173
6.0,ag_sf_grooming,10,0.3144,0.01952320556557133,0.0061737796814881184,12.238095238095237,0.6537871532259989,0.20674565091516572,14.280422293843552,0.14921850609728265,0.047187034831513604
6.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.728571428571428,0.7973090292243284,0.2521312531366631,13.442618368430718,0.07382001641717698,0.023343938878930173
8.0,ag_cf_grooming,10,0.0,0.0,0.0,29.935714285714287,0.7358345649184316,0.2326913206221275,13.442618368430718,0.07382001641717698,0.023343938878930173
8.0,ag_sf_grooming,10,0.3248,0.01972477291800001,0.006237520875048569,12.333333333333332,0.5233283022804615,0.16549093992353478,14.090540861997813,0.18417908917635212,0.0582425419172538
8.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.88809523809524,0.6030753886656381,0.190709182897471,13.442618368430718,0.07382001641717698,0.023343938878930173
10.0,ag_cf_grooming,10,0.0,0.0,0.0,29.766666666666666,0.6910506641398757,0.21852940772540505,13.442618368430718,0.07382001641717698,0.023343938878930173
10.0,ag_sf_grooming,10,0.3293,0.019166231879126482,0.006060894690096869,12.4,0.6231851958766257,0.1970684623068309,14.031768798894138,0.21183819827210193,0.06698912019661876
10.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.964285714285715,0.734137709059368,0.23215472768456327,13.442618368430718,0.07382001641717698,0.023343938878930173
12.0,ag_cf_grooming,10,0.0,0.0,0.0,30.10238095238095,0.7389097741409216,0.2336637871645899,13.442618368430718,0.07382001641717698,0.023343938878930173
12.0,ag_sf_grooming,10,0.3301,0.02017947251815842,0.006381309513815412,12.60952380952381,0.5739801937232643,0.1815084743990197,13.99581502351457,0.16433441680648453,0.0519671055063945
12.0,ag_jdr_grooming,10,0.0,0.0,0.0,30.07857142857143,0.8110047145450897,0.25646220910971707,13.442618368430718,0.07382001641717698,0.023343938878930173
14.0,ag_cf_grooming,10,0.0,0.0,0.0,29.78095238095238,0.9479925349436539,0.2997815615258708,13.442618368430718,0.07382001641717698,0.023343938878930173
14.0,ag_sf_grooming,10,0.33089999999999997,0.01944479364765797,0.006148983655857281,12.65952380952381,0.4740759932406353,0.14991599226469965,13.954130393738252,0.14603350000348483,0.0461798474697219
14.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.923809523809524,0.7959332259532629,0.2516961859417754,13.442618368430718,0.07382001641717698,0.023343938878930173
16.0,ag_cf_grooming,10,0.0,0.0,0.0,30.01904761904762,0.7012747993242705,0.22176256315422038,13.442618368430718,0.07382001641717698,0.023343938878930173
16.0,ag_sf_grooming,10,0.33089999999999997,0.02045835879156596,0.00646950109702784,12.545238095238094,0.6731964792109886,0.21288341871129157,13.96330588248901,0.16223843003989227,0.05130429629359418
16.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.845238095238095,0.7158932528023376,0.2263853240402106,13.442618368430718,0.07382001641717698,0.023343938878930173
18.0,ag_cf_grooming,10,0.0,0.0,0.0,29.919047619047618,1.0274759009997743,0.32491640880929634,13.442618368430718,0.07382001641717698,0.023343938878930173
18.0,ag_sf_grooming,10,0.3323,0.020650800361137464,0.00653035646466221,12.702380952380953,0.6967196289545906,0.2203220918043904,13.941746966817666,0.14186114709284828,0.04486043362975745
18.0,ag_jdr_grooming,10,0.0,0.0,0.0,30.08809523809524,0.8694045074249758,0.2749298451479695,13.442618368430718,0.07382001641717698,0.023343938878930173
20.0,ag_cf_grooming,10,0.0,0.0,0.0,29.885714285714286,0.9767903692952736,0.3088882363490065,13.442618368430718,0.07382001641717698,0.023343938878930173
20.0,ag_sf_grooming,10,0.3319,0.02078701517774978,0.006573431371817915,12.711904761904762,0.5598979948849974,0.17705529211978965,13.923228712048394,0.15560919576018592,0.0492079483469204
20.0,ag_jdr_grooming,10,0.0,0.0,0.0,29.83809523809524,0.9263506206675675,0.2929377873220161,13.442618368430718,0.07382001641717698,0.023343938878930173
